ip_address,device_type,brand_model,unit,device_owner,contact_extension
150.201.52.27,???,HP Color LaserJet Pro MFP M283fdw,?????,???,3555
150.201.52.122,???,KONICA MINOLTA bizhub 367,?????,???,3555
150.201.25.02,?????,"PC??,????",????????,???,3923
150.201.25.171,?????,"PC??,????",????????,???,3923
150.201.20.10,NAS,????Synoloqy/DS200J,???????,???,3005
150.201.106.50,???,HP Color LaserJet M553 PCL 6,?????,???,3359
150.201.106.150,???,KONICA MINOLTA C368SeriesPCL,?????,???,3359
150.201.106.152,???,?,????,???,5023
150.201.120.115,???,HP LaserJet Enterprise M507,????????????,???,5733
150.201.120.22,???????,Tenda AC1200,????????????,???,5733
150.201.120.25,???,HP LaserJet Enterprise M507,????????????,???,5733
